source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,"Before I, or anyone, saw the classified and/or highly confidential hacking intelligence report, it was leaked out to @NBCNews. So serious!",Sun Jan 08 18:56:20 +0000 2017,20653,74117,FALSE,818169485169410048
Twitter for Android,Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!,Mon Jan 09 04:05:31 +0000 2017,19152,77977,FALSE,818307689323368448
Twitter for Android,Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!,Mon Jan 09 11:17:40 +0000 2017,7303,37714,FALSE,818416446527172608
Twitter for Android,"Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a.....",Mon Jan 09 11:27:50 +0000 2017,37502,123217,FALSE,818419002548568064
Twitter for Android,"Hillary flunky who lost big. For the 100th time, I never ""mocked"" a disabled reporter (would never do that) but simply showed him.......",Mon Jan 09 11:36:02 +0000 2017,21354,84171,FALSE,818421066859167746
Twitter for Android,"""groveling"" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!",Mon Jan 09 11:43:26 +0000 2017,16028,69118,FALSE,818422930157830144
Twitter for Android,"It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants, adding 2000 jobs. This after...",Mon Jan 09 14:14:10 +0000 2017,23305,100861,FALSE,818460862675558400
Twitter for Android,Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!,Mon Jan 09 14:16:34 +0000 2017,23379,109595,FALSE,818461467766824961
Twitter for iPhone,An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf,Mon Jan 09 22:32:33 +0000 2017,24973,123554,FALSE,818586286034485250
Twitter for iPhone,"Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! 
#LawEnforcementAppreciationDay… https://t.co/aqUbDipSgv",Tue Jan 10 02:20:01 +0000 2017,23231,93051,FALSE,818643528905621504
Twitter for iPhone,"'U.S. Small-Business Optimism Index Surges by Most Since 1980'
https://t.co/X22x1BttdG",Tue Jan 10 15:26:22 +0000 2017,11159,42009,FALSE,818841421364989952
Twitter for iPhone,'Small business optimism soars after Trump election' https://t.co/WjBaTp824U,Tue Jan 10 20:50:31 +0000 2017,11791,49639,FALSE,818922995980845056
Twitter for iPhone,"'Trump Helps Lift Small Business Confidence to 12-Yr. High'
https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx",Tue Jan 10 22:30:53 +0000 2017,10499,43435,FALSE,818948254943604736
Twitter for Android,FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!,Wed Jan 11 01:19:23 +0000 2017,29205,93960,FALSE,818990655418617856
Twitter for iPhone,RT @MichaelCohen212: I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D,Wed Jan 11 01:35:41 +0000 2017,11160,0,TRUE,818994757569564673
Twitter for iPhone,"'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews 
https://t.co/d6daCFZHNh",Wed Jan 11 02:00:11 +0000 2017,15013,45277,FALSE,819000924207251456
Twitter for Android,"Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE."" Very unfair!",Wed Jan 11 12:13:40 +0000 2017,17574,66237,FALSE,819155311793700865
Twitter for Android,"Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS, NO LOANS, NO NOTHING!",Wed Jan 11 12:31:31 +0000 2017,23709,85813,FALSE,819159806489591809
Twitter for Android,"I win an election easily, a great ""movement"" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",Wed Jan 11 12:44:05 +0000 2017,28585,115066,FALSE,819162968592183298
Twitter for Android,"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",Wed Jan 11 12:48:52 +0000 2017,31725,108284,FALSE,819164172781060096
