na_item,unit,geo,time,values
B1GQ,CP_MPPS,IE,2008-01-01,157120.8
B1GQ,CP_MPPS,IS,2008-01-01,10706.4
B1GQ,CP_MPPS,IT,2008-01-01,1646003.6
B1GQ,CP_MPPS,LT,2008-01-01,52434.9
B1GQ,CP_MPPS,LU,2008-01-01,33481.4
B1GQ,CP_MPPS,LV,2008-01-01,33439.7
B1GQ,CP_MPPS,MK,2008-01-01,17021.9
B1GQ,CP_MPPS,MT,2008-01-01,8474.8
B1GQ,CP_MPPS,NL,2008-01-01,595867.3
B1GQ,CP_MPPS,NO,2008-01-01,232733.9
B1GQ,CP_MPPS,PL,2008-01-01,551740.7
B1GQ,CP_MPPS,PT,2008-01-01,222229.8
B1GQ,CP_MPPS,RO,2008-01-01,264614.2
B1GQ,CP_MPPS,RS,2008-01-01,69256.5
B1GQ,CP_MPPS,SE,2008-01-01,304974.8
B1GQ,CP_MPPS,SI,2008-01-01,47325.8
B1GQ,CP_MPPS,SK,2008-01-01,100723.9
B1GQ,CP_MPPS,TR,2008-01-01,893472.1
B1GQ,CP_MPPS,UK,2008-01-01,1771139.2
B1GQ,CP_EUR_HAB,AL,2009-01-01,3e3
B1GQ,CP_EUR_HAB,AT,2009-01-01,34500
B1GQ,CP_EUR_HAB,BE,2009-01-01,32300
B1GQ,CP_EUR_HAB,BG,2009-01-01,5e3
B1GQ,CP_EUR_HAB,CH,2009-01-01,50200
